"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"TP_SIGNAL_NAME";
"9";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9";"LED";"";"";"";"";"";"";"28";"";
"1";"";"ML10";"ML10";"JTAG";"HARTING";"";"";"";"";"unknown";"unknown";"";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"0";"R-EU_R0603";"R0603";"R68";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"76";"100n";"C-EUC0603";"C0603";"C1, C2, C3, C4, C6, C7, C12, C13, C15, C18, C22, C23, C26, C29, C30, C33, C34, C35, C36, C38, C39, C43, C44, C45, C48, C49, C52, C54, C59, C64, C66, C67, C68, C70, C71, C75, C76, C77, C80, C81, C84, C86, C91, C96, C104, C105, C110, C120, C127, C128, C129, C138, C143, C144, C145, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C191, C192, C203, C204, C205, C206, C207, C208, C209, C210, C211";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"22";"10k";"R-EU_R0603";"R0603";"R49, R56, R64, R80, R83, R86, R90, R92, R93, R94, R95, R97, R98, R99, R100, R101, R102, R103, R104, R111, R112, R113";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"17";"10n";"C-EUC0603";"C0603";"C8, C10, C11, C40, C42, C55, C65, C72, C74, C87, C107, C121, C130, C131, C132, C146, C147";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"10u";"C-EUC1206";"C1206";"C125, C126, C141, C142";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"2";"10u";"SRN5040";"SRN5040";"L51, L55";"";"";"";"";"";"";"";"";"";
"3";"10u/25V";"C-EUC1206";"C1206";"C173, C177, C185";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"6";"120n";"INDUCTOR0603";"R0603";"L32, L33, L34, L35, L36, L37";"";"";"";"";"";"";"";"";"";
"4";"120p";"C-EUC0603";"C0603";"C14, C56, C88, C182";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"3";"150p";"C-EUC0603";"C0603";"C31, C57, C89";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"16k";"R-EU_R0603";"R0603";"R85";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
