"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"1";"";"PINHD-1X10/90";"1X10/90";"JP1";"PIN HEADER";"";"";"";
"1";"0";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";
"6";"100n";"C-EUC0603";"C0603";"C3, C4, C5, C8, C9, C19";"CAPACITOR, European symbol";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R11, R12";"RESISTOR, European symbol";"";"";"";
"2";"10u";"C-EUC1206";"C1206";"C16, C17";"CAPACITOR, European symbol";"";"";"";
"2";"120n";"INDUCTOR0603";"R0603";"L1, L3";"";"";"";"";
"3";"1u";"C-EUC0603";"C0603";"C6, C7, C18";"CAPACITOR, European symbol";"";"";"";
"4";"200";"R-EU_R0603";"R0603";"R5, R6, R7, R8";"RESISTOR, European symbol";"";"";"";
"2";"33";"R-EU_R0603";"R0603";"R9, R10";"RESISTOR, European symbol";"";"";"";
"2";"470";"R-EU_R0603";"R0603";"R13, R14";"RESISTOR, European symbol";"";"";"";
"3";"4n7";"C-EUC0603";"C0603";"C13, C14, C15";"CAPACITOR, European symbol";"";"";"";
"1";"650n";"INDUCTOR0603";"R0603";"L2";"";"";"";"";
"2";"82p";"C-EUC0603";"C0603";"C1, C2";"CAPACITOR, European symbol";"";"";"";
"2";"BSS123";"BSS123";"SOT23";"Q1, Q2";"N-CHANNEL MOS FET";"";"";"";
"3";"DNP";"C-EUC0603";"C0603";"C10, C11, C12";"CAPACITOR, European symbol";"";"";"";
"3";"DNP";"R-EU_R0603";"R0603";"R1, R3, R4";"RESISTOR, European symbol";"";"";"";
"1";"Ferrite";"INDUCTOR0603";"R0603";"L4";"";"";"";"";
"2";"Green";"LED_ESML0603";"LED_SML0603";"LED1, LED2";"LED";"NONE";"D";"diode";
"1";"IN";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X1";"";"";"";"";
"1";"LO";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X2";"";"";"";"";
"1";"LT5560";"LT5560";"SON50P300X300X80-9T165X238";"IC1";"";"";"";"";
"1";"LTC6362";"LTC6362";"SON50P300X300X80-9T165X238";"IC2";"";"";"";"";
"1";"VREG-TS1117CW-5V";"VREG-TS1117CW-5V";"SOT223";"IC3";"Voltage Regulators (LDOs, Switching Converters...)";"";"";"";
