"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"1";"";"PINHD-1X10/90";"1X10/90";"JP1";"PIN HEADER";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";
"5";"100n";"C-EUC0603";"C0603";"C7, C14, C15, C18, C19";"CAPACITOR, European symbol";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R16";"RESISTOR, European symbol";"";"";"";
"4";"10n";"C-EUC0603";"C0603";"C17, C20, C21, C22";"CAPACITOR, European symbol";"";"";"";
"2";"10u";"C-EUC1206";"C1206";"C12, C13";"CAPACITOR, European symbol";"";"";"";
"1";"120";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";
"1";"180p";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";
"7";"1u";"C-EUC0603";"C0603";"C1, C2, C3, C8, C9, C10, C11";"CAPACITOR, European symbol";"";"";"";
"2";"220";"R-EU_R0603";"R0603";"R9, R10";"RESISTOR, European symbol";"";"";"";
"1";"2n";"C-EUC0603";"C0603";"C4";"CAPACITOR, European symbol";"";"";"";
"1";"33n";"C-EUC0603";"C0603";"C6";"CAPACITOR, European symbol";"";"";"";
"1";"470";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";
"5";"49R9";"R-EU_R0603";"R0603";"R5, R6, R7, R8, R12";"RESISTOR, European symbol";"";"";"";
"1";"5k1";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";"";"";
"1";"AP2114H";"AP2114H";"SOT230P700X180-4";"IC1";"";"";"";"";
"2";"Ferrite";"INDUCTOR0603";"R0603";"L1, L2";"";"";"";"";
"2";"Green";"LED_ESML0603";"LED_SML0603";"LED1, LED3";"LED";"NONE";"D";"diode";
"1";"MAX2871";"MAX2871";"QFN50P500X500X80-33T310";"IC2";"";"";"";"";
"2";"NCP702-3.3";"NCP702";"SOT95P240X110-5";"IC4, IC5";"";"";"";"";
"1";"Red";"LED_ESML0603";"LED_SML0603";"LED2";"LED";"NONE";"D";"diode";
"5";"SMA_CONNECTOR";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X1, X2, X3, X4, X5";"";"";"";"";
