"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"1";"";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";
"1";"";"PINHD-1X6/90";"1X06/90";"JP1";"PIN HEADER";"";"";"";
"5";"100n";"C-EUC0603";"C0603";"C6, C7, C12, C13, C14";"CAPACITOR, European symbol";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R9, R10";"RESISTOR, European symbol";"";"";"";
"1";"10n";"C-EUC0603";"C0603";"C8";"CAPACITOR, European symbol";"";"";"";
"2";"10u";"C-EUC1206";"C1206";"C15, C16";"CAPACITOR, European symbol";"";"";"";
"1";"18";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";
"6";"1u";"C-EUC0603";"C0603";"C1, C2, C3, C4, C9, C17";"CAPACITOR, European symbol";"";"";"";
"3";"330n";"INDUCTOR0603";"R0603";"L1, L2, L3";"";"";"";"";
"2";"39p";"C-EUC0603";"C0603";"C10, C11";"CAPACITOR, European symbol";"";"";"";
"2";"470";"R-EU_R0603";"R0603";"R12, R13";"RESISTOR, European symbol";"";"";"";
"3";"49R9";"R-EU_R0603";"R0603";"R6, R7, R8";"RESISTOR, European symbol";"";"";"";
"1";"51k";"R-EU_R0603";"R0603";"R14";"RESISTOR, European symbol";"";"";"";
"4";"620";"R-EU_R0603";"R0603";"R1, R2, R4, R5";"RESISTOR, European symbol";"";"";"";
"2";"BSS123";"BSS123";"SOT23";"Q1, Q2";"N-CHANNEL MOS FET";"";"";"";
"1";"DNP";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";
"1";"Ferrite";"INDUCTOR0603";"R0603";"L4";"";"";"";"";
"2";"Green";"LED_ESML0603";"LED_SML0603";"LED1, LED2";"LED";"NONE";"D";"diode";
"1";"IF OUT";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X4";"";"";"";"";
"1";"LO";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X3";"";"";"";"";
"1";"LTC5510";"LTC5510";"QFN65P400X400X75-17T215N";"IC1";"";"";"";"";
"1";"MABA011082";"MABA011082";"MACOM_BALUN";"T1";"";"";"";"";
"1";"RLB DUT/RF IN";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X2";"";"";"";"";
"1";"RLB Feed";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X1";"";"";"";"";
"1";"VREG-TS1117CW-5V";"VREG-TS1117CW-5V";"SOT223";"IC2";"Voltage Regulators (LDOs, Switching Converters...)";"";"";"";
