"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"9";"";"C-EUC0603";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C13";"CAPACITOR, European symbol";"";
"1";"";"PINHD-1X6/90";"1X06/90";"JP1";"PIN HEADER";"";
"4";"100n";"C-EUC0603";"C0603";"C9, C10, C11, C12";"CAPACITOR, European symbol";"";
"4";"10k";"R-EU_R0603";"R0603";"R1, R2, R3, R4";"RESISTOR, European symbol";"";
"3";"1u";"C-EUC0603";"C0603";"C16, C17, C18";"CAPACITOR, European symbol";"";
"2";"4p";"C-EUC0603";"C0603";"C14, C15";"CAPACITOR, European symbol";"";
"1";"CLK0";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X1";"";"";
"1";"CLK1";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X2";"";"";
"1";"CLK2";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X3";"";"";
"1";"CLK3";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X4";"";"";
"1";"CLK4";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X5";"";"";
"1";"CLK5";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X6";"";"";
"1";"CLK6";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X7";"";"";
"1";"CLK7";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X8";"";"";
"1";"FA-128 26MHz";"FA-128";"FA-128";"Q1";"MHz RANGE CRYSTAL UNIT";"";
"1";"Ferrite";"INDUCTOR0603";"R0603";"L1";"";"";
"1";"NCP702-3.3";"NCP702";"SOT95P240X110-5";"IC4";"";"";
"1";"REF IN";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X9";"";"";
"1";"SI5351C";"SI5351C";"QFN50P400X400X90-21T270N";"IC1";"";"";
